mol_name,is_active
CHEMBL288302,1
CHEMBL369590,1
CHEMBL282469,1
CHEMBL347863,1
CHEMBL107275,1
CHEMBL94173,1
CHEMBL107695,1
CHEMBL61640,1
CHEMBL347863,1
CHEMBL36748,1
CHEMBL26053,1
CHEMBL347863,1
CHEMBL37596,1
CHEMBL282664,1
CHEMBL19951,1
CHEMBL58340,1
CHEMBL91623,1
CHEMBL25771,1
CHEMBL499610,1
CHEMBL42976,1
CHEMBL280203,1
CHEMBL314706,1
CHEMBL109178,1
CHEMBL282469,1
CHEMBL368667,1
CHEMBL360681,1
CHEMBL107700,1
CHEMBL111578,1
CHEMBL24819,1
CHEMBL58340,1
CHEMBL50625,1
CHEMBL368598,1
CHEMBL19951,1
CHEMBL19935,1
CHEMBL174601,1
CHEMBL110444,1
CHEMBL49920,1
CHEMBL255568,1
CHEMBL337854,1
CHEMBL147899,1
CHEMBL38235,1
CHEMBL330507,1
CHEMBL321012,1
CHEMBL325055,1
CHEMBL441233,1
CHEMBL287261,1
CHEMBL289531,1
CHEMBL558003,1
CHEMBL109178,1
CHEMBL347633,1
ZINC46543302,0
ZINC38797127,0
ZINC36065003,0
ZINC67180184,0
ZINC37418318,0
ZINC39380096,0
ZINC13025805,0
ZINC40083738,0
ZINC40123837,0
ZINC09354134,0
ZINC40076300,0
ZINC19752385,0
ZINC64438320,0
ZINC47085038,0
ZINC64610606,0
ZINC04557127,0
ZINC62920655,0
ZINC38619481,0
ZINC13051317,0
ZINC39698627,0
ZINC39595675,0
ZINC64665678,0
ZINC64358408,0
ZINC39022314,0
ZINC40096988,0
ZINC00108478,0
ZINC02026542,0
ZINC13035999,0
ZINC08576338,0
ZINC50976560,0
ZINC02441659,0
ZINC06146133,0
ZINC62757687,0
ZINC25239762,0
ZINC35004891,0
ZINC40819516,0
ZINC12566757,0
ZINC44378641,0
ZINC24192911,0
ZINC28249090,0
ZINC47343250,0
ZINC58492183,0
ZINC65055884,0
ZINC06294281,0
ZINC15009808,0
ZINC13563727,0
ZINC47211536,0
ZINC39345556,0
ZINC63476368,0
ZINC13235690,0
ZINC13026016,0
ZINC40083371,0
ZINC54052328,0
ZINC13440397,0
ZINC13203887,0
ZINC54310381,0
ZINC20349793,0
ZINC40200625,0
ZINC20804512,0
ZINC40523249,0
ZINC40175738,0
ZINC13234592,0
ZINC41237988,0
ZINC44614532,0
ZINC48807578,0
ZINC01850245,0
ZINC09331953,0
ZINC16909953,0
ZINC40100718,0
ZINC13008020,0
ZINC59248637,0
ZINC62565544,0
ZINC19716798,0
ZINC28568180,0
ZINC40062883,0
ZINC44260843,0
ZINC50679220,0
ZINC03839540,0
ZINC13058760,0
ZINC39148871,0
ZINC20218927,0
ZINC66582456,0
ZINC59886351,0
ZINC35389400,0
ZINC13150292,0
ZINC66735608,0
ZINC34734490,0
ZINC59293932,0
ZINC36333834,0
ZINC61181748,0
ZINC31773030,0
ZINC16915548,0
ZINC59398943,0
ZINC64589881,0
ZINC05897739,0
ZINC66506034,0
ZINC61807307,0
ZINC64100831,0
ZINC37238940,0
ZINC57454606,0
ZINC64862681,0
ZINC13412866,0
ZINC60349085,0
ZINC40123816,0
ZINC63859228,0
ZINC13258229,0
ZINC44682016,0
ZINC13278967,0
ZINC35252633,0
ZINC00892643,0
ZINC03576327,0
ZINC43428971,0
ZINC50195104,0
ZINC63850882,0
ZINC43511218,0
ZINC40082895,0
ZINC40015362,0
ZINC31970582,0
ZINC32748029,0
ZINC63879149,0
ZINC63154153,0
ZINC37630352,0
ZINC00134207,0
ZINC40055036,0
ZINC36596586,0
ZINC40048588,0
ZINC35443863,0
ZINC26539753,0
ZINC13233146,0
ZINC13122840,0
ZINC16900472,0
ZINC36049896,0
ZINC13279345,0
ZINC13274215,0
ZINC20827423,0
ZINC40075873,0
ZINC63858375,0
ZINC62963129,0
ZINC21548969,0
ZINC36576623,0
ZINC41539300,0
ZINC49593823,0
ZINC09491018,0
ZINC19767421,0
ZINC19770053,0
ZINC20254657,0
ZINC40322467,0
ZINC28808698,0
ZINC37310774,0
ZINC39961169,0
ZINC39646922,0
ZINC02384119,0
ZINC19809643,0
ZINC51394224,0
ZINC49101853,0
ZINC20258845,0
ZINC04624195,0
ZINC13448445,0
ZINC22048512,0
ZINC40093263,0
ZINC06633935,0
ZINC01059560,0
ZINC13218446,0
ZINC16887645,0
ZINC59291175,0
ZINC39989937,0
ZINC19890478,0
ZINC17426743,0
ZINC08741307,0
ZINC13450822,0
ZINC13450139,0
ZINC61176310,0
ZINC13190963,0
ZINC64476153,0
ZINC40955877,0
ZINC50980346,0
ZINC04945411,0
ZINC44244847,0
ZINC54634246,0
ZINC33766318,0
ZINC63454101,0
ZINC27531874,0
ZINC06430341,0
ZINC40053160,0
ZINC49692249,0
ZINC13638170,0
ZINC42750800,0
ZINC13169337,0
ZINC35698587,0
ZINC50984153,0
ZINC13245518,0
ZINC40126570,0
ZINC13013596,0
ZINC33473449,0
ZINC63153831,0
ZINC04953161,0
ZINC26254851,0
ZINC12693883,0
ZINC61150568,0
ZINC56433967,0
ZINC13251755,0
ZINC05386292,0
ZINC64774139,0
ZINC13060968,0
ZINC50351399,0
ZINC46302361,0
ZINC13392207,0
ZINC13396026,0
ZINC43703088,0
ZINC13246956,0
ZINC22799391,0
ZINC13551898,0
